scan_index,t,odom_index,x,y,theta,selected_cluster_mass,candidate_cluster_mass,candidate_cluster_count,best_particle,best_particle_weight,previous_cluster_mass,previous_cluster_count,pending_mean_candidate_mass,pending_mean_selected_mass,pending_count,selected_switched,hypothesis_switches,ess,ess_ratio,beams,mean_log_likelihood,stable_now,accepted,reference_x,reference_y,reference_theta,reference_position_error_m,reference_heading_error_rad
4360,436.7947692871094,4322,3.1062243301992174,0.6796352679388595,-0.6172542970849804,1.0,1.0,9366,0,0.0001385692103994376,1.0,9366,1.0,0.0,0,0,10,8361.218784380715,0.8361218784380715,120,-95.8880029296875,0,0,1.361803,-7.119986,0.174533,7.992314915000422,0.7917872970849804
4364,437.1980895996094,4325,3.1021510796226663,0.6814467962473344,-0.6189048543578426,0.9999986527160049,0.9999986527160049,9120,0,0.00016129693134963723,0.9999986527160049,9120,0.9999986527160049,0.0,0,0,10,7519.553061967353,0.7519553061967352,120,-135.432861328125,0,0,1.361803,-7.119986,0.174533,7.993194925222943,0.7934378543578426
4368,437.6001281738281,4329,3.099181328757699,0.6827530819376068,-0.6203858900087494,0.9999999435362708,0.9999999435362708,8900,0,0.00018703802569105705,0.9999999435362708,8900,0.9999999435362708,0.0,0,0,10,6757.629084993017,0.6757629084993018,120,-166.004892578125,0,0,1.361803,-7.119986,0.174533,7.993823905868418,0.7949188900087494
4372,438.0008850097656,4333,3.0947869921598024,0.6849510017204633,-0.6219905751328322,0.9999999976202072,0.9999999976202072,8659,0,0.00021811868969258286,0.9999999976202072,8659,0.9999999976202072,0.0,0,0,10,6037.59329803862,0.6037593298038619,120,-205.0415185546875,0,0,1.361803,-7.119986,0.174533,7.995015642130248,0.7965235751328321
4376,438.4015808105469,4337,3.0906299666445918,0.6869112259409903,-0.6231474369129122,0.9999999998997197,0.9999999998997197,8429,0,0.0002543097825598612,0.9999999998997197,8429,0.9999999998997197,0.0,0,0,10,5388.291764617085,0.5388291764617086,120,-245.70763671875,0,0,1.361803,-7.119986,0.174533,7.9960294507338245,0.7976804369129122
4380,438.8045959472656,4341,3.0876916104499537,0.6880444500778196,-0.6244050547888992,0.9999999999958098,0.9999999999958098,8256,0,0.00029402565147763795,0.9999999999958098,8256,0.9999999999958098,0.0,0,0,10,4844.559711758136,0.48445597117581357,120,-272.2986572265625,0,0,1.361803,-7.119986,0.174533,7.996501172701928,0.7989380547888992
4384,439.207275390625,4345,3.0846981564918936,0.6893150755397124,-0.6258912446066176,0.9999999999949621,0.9999999999949621,8075,0,0.00034009837041645526,0.9999999999949623,8074,0.9999999999949621,0.0,0,0,10,4341.5520140210865,0.43415520140210867,120,-297.090634765625,0,0,1.361803,-7.119986,0.174533,7.997096411116283,0.8004242446066177
4388,439.60992431640625,4349,3.0820298562024413,0.6902883127962167,-0.6281621136405952,0.9999999999999822,0.9999999999999822,7897,0,0.00039066048095432024,0.9999999999999822,7897,0.9999999999999822,0.0,0,0,10,3905.5687019372767,0.39055687019372765,120,-321.895830078125,0,0,1.361803,-7.119986,0.174533,7.997472430582337,0.8026951136405952
4392,440.01348876953125,4353,3.0775635155459735,0.6924147238043505,-0.6303020218397505,0.9999999999999996,0.9999999999999996,7722,0,0.000451142811035335,0.9999999999999996,7722,0.9999999999999996,0.0,0,0,10,3500.6864393889414,0.35006864393889414,120,-342.9219189453125,0,0,1.361803,-7.119986,0.174533,7.9985898267135385,0.8048350218397504
4396,440.41461181640625,4357,3.0746058269257173,0.6933495120596849,-0.6316754150915287,1.0,1.0,7599,0,0.0005166896754651052,1.0,7600,1.0,0.0,0,0,10,3157.743129302585,0.31577431293025854,120,-360.305771484375,0,0,1.361803,-7.119986,0.174533,7.998869004299152,0.8062084150915287
4400,440.81689453125,4361,3.070976500588726,0.6947566060631596,-0.6328000398666992,0.9999999999781686,0.9999999999781686,9694,0,0.00011629417963893855,0.9999999999781686,9694,0.9999999999781686,0.0,0,0,10,9331.473485425575,0.9331473485425574,120,-46.78751953125,0,0,1.361803,-7.119986,0.174533,7.99946723564348,0.8073330398666991
