scan_index,t,x,y,theta,true_x,true_y,true_theta,position_error_m,heading_error_rad,ess,beams,mean_log_likelihood,best_particle,best_particle_weight,candidate_cluster_mass,candidate_cluster_count,selected_cluster_mass,selected_switched,previous_cluster_mass,previous_cluster_count,hypothesis_switches,true_nearest_particle_weight,true_nearest_particle_rank,true_cluster_mass,true_cluster_count
298,64.0,1.0111565816221455,-11.787531703654604,3.125790577091277,-11.7,-0.908696,1.570796,16.7308866444557,1.5549945770912768,1564.5241791058995,56,-10.781820000000002,16,0.0008552285021722438,0.9999999934522321,2909,0.9999999934522321,0,0.9999999934522321,2909,8,5.758662734075091e-292,2966,0.0,0
300,64.6,0.8063163010258698,-11.784995416434317,3.116840999116341,-11.7,-0.7,1.570796,16.711824281139243,1.546044999116341,2177.590847892485,56,-9.899146666666667,1512,0.0007190340095188231,0.9420526859843456,2744,0.999998750767544,0,0.999998750767544,2910,8,1.0205733100228201e-123,2965,1.0205733100228201e-123,1
302,65.2,0.6026401694244152,-11.780904042769254,3.1140971257958796,-11.7,-0.491304,1.570796,16.697605345199374,1.5433011257958795,1550.7295890312103,56,-10.252993333333334,1512,0.001257615947905213,0.8805125324238096,2564,0.9999999998879079,0,0.9999999998879079,2910,8,2.016178966775629e-232,2961,2.016178966775629e-232,1
304,65.8,0.3949036936652867,-11.77855792896186,3.129876099054768,-11.7,-0.282609,1.570796,16.68662749438416,1.5590800990547677,2376.95306027627,56,-10.736226666666667,11,0.0005065861053631576,0.9998522194009356,2910,0.9998522194009356,0,0.9998522194009356,2910,8,8.10370719044358e-31,2915,8.10370719044358e-31,1
306,66.4,0.1846097655592518,-11.778863690813562,3.1392989781009737,-11.7,-0.073913,1.570796,16.68082192081683,1.5685029781009736,1853.2935068243564,56,-11.85910666666667,38,0.0007085609019992968,0.9999021675409799,2910,0.9999021675409799,0,0.9999021675409799,2910,8,8.523533937009631e-60,2914,8.523533937009631e-60,1
308,67.0,-0.02225419597255638,-11.779308195739418,3.1410131079229813,-11.7,0.134783,1.570796,16.682785021808442,1.5702171079229812,1494.5681985375597,56,-12.238680000000002,92,0.0009223959356580119,0.999946108394308,2910,0.999946108394308,1,0.9990419771219123,2909,9,4.500202402852964e-90,2915,4.500202402852964e-90,1
310,67.6,-0.22943697439986843,-11.782031820227862,-3.1370368540752325,-11.7,0.343478,1.570796,16.691369162675276,1.575352453104354,2487.857653129789,56,-8.950199999999999,22,0.0004683661018941659,0.9787654532727261,2847,0.9979975008336288,0,0.9979975008336288,2908,9,4.683661095869958e-304,2998,4.683661095869958e-304,1
312,68.2,-0.43532829112083,-11.784197955822773,-3.137167158221345,-11.7,0.552174,1.570796,16.705654783373003,1.5752221489582416,2049.969744413216,56,-9.430593333333336,82,0.0006156881408153198,0.9900645327761728,2874,0.9976884520538912,0,0.9976884520538912,2908,9,0.0,2987,0.0,1
314,68.8,-0.6471062391020179,-11.782954592159967,3.1342697827289236,-11.7,0.76087,1.570796,16.71867207312156,1.5634737827289236,1300.6580531553093,56,-12.148099999999996,181,0.002126813483353994,0.27146792259831387,240,0.9958567243378729,0,0.9958567243378729,2908,9,0.0,2974,0.0,1
316,69.4,-0.8549415583011666,-11.789076486385998,-3.107398547538663,-11.7,0.969565,1.570796,16.74509555607232,1.6049907596409236,913.327929703459,56,-12.769679999999997,773,0.0023215165853972233,0.9959238036133854,2899,0.9959238036133854,0,0.9959238036133854,2899,9,1.2417433202791642e-171,2977,0.0,0
318,70.0,-1.0615887949043736,-11.793954808515927,-3.1175959854300146,-11.7,1.178261,1.570796,16.776596077614037,1.5947933217495722,2566.8539188148816,56,-9.346766666666667,0,0.0004399010524566509,0.9968180986478522,2902,0.9968180986478522,1,0.9955503533247777,2898,10,1.6001404768448913e-77,2939,1.6001404768448913e-77,1
320,70.6,-1.268159657860115,-11.797225250604797,-3.1249570757300953,-11.7,1.386957,1.570796,16.81207763903854,1.5874322314494906,2105.3036783221096,56,-10.10422,2,0.0005776462726335143,0.9948985627967561,2898,0.9948985627967561,1,0.9947493077936256,2897,11,3.929962934526722e-149,2938,3.929962934526722e-149,1
322,71.2,-1.4711846887350544,-11.799740442412059,-3.130052979214668,-11.7,1.595652,1.570796,16.854233929734043,1.5823363279649183,1726.0950217166305,56,-10.471686666666667,2,0.0007469533137105905,0.9949883120987341,2900,0.9949883120987341,1,0.9946995501532105,2897,12,1.1639247256356172e-221,2938,1.1639247256356172e-221,1
324,71.8,-1.667943462595121,-11.809889365469488,-3.0882141977864976,-11.7,1.804348,1.570796,16.911227554882984,1.6241751093930887,703.5509470503313,56,-13.326286666666666,187,0.00699466690371581,0.48234111979589733,240,0.9908566852263501,0,0.9908566852263501,2896,12,5.066145312504764e-296,2938,5.066145312504764e-296,1
326,72.4,-1.861777299127707,-11.81380292918551,-3.1332430361345547,-11.7,2.013043,1.570796,16.96974644069241,1.5791462710450317,753.0163209241144,56,-13.909586666666668,1223,0.003283910485058667,0.9106163335131964,2662,0.9938116896272324,0,0.9938116896272324,2885,12,1.2341672130723488e-19,2911,1.2341672130723488e-19,1
328,73.0,-2.0674363613279323,-11.814863414629778,-3.13571762836874,-11.7,2.221739,1.570796,17.023879980764015,1.576671678810847,2626.6361238085856,56,-8.611160000000002,3,0.0004232338922246025,0.9947421793900306,2895,0.9947421793900306,1,0.9925582465821174,2887,13,5.501075187357528e-206,2983,0.0,0
330,73.6,-2.271332308332381,-11.81525202739365,-3.139659391887535,-11.7,2.430435,1.570796,17.0833068614466,1.572729915292051,2261.0927388559103,56,-9.259993333333334,3,0.0005262783116696083,0.9928795824498156,2891,0.9928795824498156,1,0.9923650488513416,2887,14,0.0,2982,0.0,0
332,74.2,-2.4718044982720535,-11.807492478804175,3.09143191193151,-11.7,2.63913,1.570796,17.142476287374645,1.5206359119315098,672.5530037267768,56,-13.078406666666668,2996,0.003616184726216093,0.9935550461335154,2878,0.995534572581006,0,0.995534572581006,2886,14,6.5276325954692e-216,2941,6.5276325954692e-216,1
