scan_index,t,x,y,theta,true_x,true_y,true_theta,position_error_m,heading_error_rad,ess,beams,mean_log_likelihood,best_particle,best_particle_weight,candidate_cluster_mass,candidate_cluster_count,selected_cluster_mass,selected_switched,previous_cluster_mass,previous_cluster_count,pending_mean_candidate_mass,pending_mean_selected_mass,pending_count,hypothesis_switches,true_nearest_particle_weight,true_nearest_particle_rank,true_cluster_mass,true_cluster_count
30,7.5,4.71848277549095,0.8763302548940005,-2.0449701466574686,-9.103846,-11.7,0.0,18.687451818210192,2.0449701466574686,4681.382184679371,72,-16.623364583333334,28,0.00026145138716180983,0.8594371339148552,4892,0.00023073003934674302,0,0.00023073003934674302,1,0.8594371339148552,0.00023073003934674302,1,1,2.6145138716180984e-304,5964,5.316071878409338e-235,2
31,7.8,4.71848277549095,0.8763302548940005,-2.0449701466574686,-9.0,-11.7,0.0,18.610772481055267,2.0449701466574686,3522.1086745243497,72,-17.819953125,5926,0.000405534192370259,0.9895056814322175,5653,0.0,0,0.0,0,0.9244714076735363,0.00011536501967337151,2,1,0.0,5934,0.0,2
32,8.1,4.71848277549095,0.8763302548940005,-2.0449701466574686,-8.896154,-11.7,0.0,18.53435775010056,2.0449701466574686,2720.8454939995604,72,-18.142796875,199,0.0006162864034392989,0.9000085814670611,4892,0.0,0,0.0,0,0.9163171322713778,7.6910013115581e-05,3,1,0.0,5899,0.0,2
33,8.4,4.71848277549095,0.8763302548940005,-2.0449701466574686,-8.792308,-11.7,0.0,18.45821091165808,2.0449701466574686,919.5108661136361,72,-18.923307291666667,5397,0.0051438883898105615,0.1251677448494899,272,0.0,0,0.0,0,0.1251677448494899,0.0,1,1,6.712320076542388e-222,5936,0.0,0
34,8.7,4.71848277549095,0.8763302548940005,-2.0449701466574686,-8.688462,-11.7,0.0,18.382335294875517,2.0449701466574686,174.2681952050721,72,-23.1665625,1682,0.017087936168470808,0.86464248138142,4358,0.0,0,0.0,0,0.86464248138142,0.0,1,1,3.274665941045475e-198,5927,3.274665942113415e-198,2
35,9.0,4.71848277549095,0.8763302548940005,-2.0449701466574686,-8.584615,-11.7,0.0,18.306733545459018,2.0449701466574686,4552.9399363934435,72,-12.654182291666666,1448,0.00028123686051587863,0.8760814436120532,5086,0.0,0,0.0,0,0.8703619624967366,0.0,2,1,1.4809271172601049e-179,5926,0.0,0
36,9.3,4.71848277549095,0.8763302548940005,-2.0449701466574686,-8.480769,-11.7,0.0,18.2314105354732,2.0449701466574686,3470.793028431942,72,-12.989604166666666,5186,0.000440718644091635,0.07736050251921417,501,0.0,0,0.0,0,0.07736050251921417,0.0,1,1,0.0,5961,0.0,0
37,9.6,4.71848277549095,0.8763302548940005,-2.0449701466574686,-8.376923,-11.7,0.0,18.15636899561484,2.0449701466574686,2719.13222786535,72,-13.531994791666667,5216,0.0006230888869093609,0.09952485204298095,684,0.0,0,0.0,0,0.08844267728109756,0.0,2,1,0.0,5917,0.0,0
38,9.9,5.869658046811209,1.1800718047582852,-2.0932194599141147,-8.273077,-11.7,0.0,19.128857893246828,2.0932194599141147,4489.411766802884,72,-12.978421875,114,0.000289225370770359,0.8929425010395707,5201,2.1301218606720975e-38,0,2.1301218606720975e-38,1,0.8929425010395707,2.1301218606720975e-38,1,1,3.3112037484422786e-66,5890,3.3112037484422786e-66,2
39,10.2,5.777840550021902,1.0210240460533306,-2.086239928445913,-8.169231,-11.7,0.0,18.877109355028313,2.086239928445913,2072.31366825564,72,-15.353135416666667,1898,0.0010154266008336934,0.9308943929043443,5201,2.3084569336389214e-62,0,2.3084569336389214e-62,1,0.9119184469719575,1.0650609303360487e-38,2,1,2.0613484413675767e-127,5889,2.0613484413675767e-127,2
40,10.5,5.777840550021902,1.0210240460533306,-2.086239928445913,-8.065385,-11.7,0.0,18.800514525114632,2.086239928445913,4103.328321446471,72,-12.590723958333333,3,0.0003055777257125586,0.9412699204236223,5480,0.0,0,0.0,0,0.9217022714558457,7.100406202240325e-39,3,1,5.110530473407715e-157,5926,5.110530473407715e-157,1
41,10.8,5.777840550021902,1.0210240460533306,-2.086239928445913,-7.961538,-11.7,0.0,18.72418157680247,2.086239928445913,2960.664436121934,72,-13.321854166666666,33,0.0004659791683036116,0.9491213947808308,5480,0.0,0,0.0,0,0.9285570522870921,5.325304651680244e-39,4,1,0.0,5941,0.0,1
42,11.1,5.777840550021902,1.0210240460533306,-2.086239928445913,-7.857692,-11.7,0.0,18.648115205107832,2.086239928445913,4888.823357884749,72,-12.259666666666666,11,0.0002491284859693019,0.9499256024876762,5581,0.0,0,0.0,0,0.9328307623272089,4.260243721344195e-39,5,1,2.387455300017733e-106,5900,2.387455300017733e-106,1
43,11.4,5.777840550021902,1.0210240460533306,-2.086239928445913,-7.753846,-11.7,0.0,18.57231794010405,2.086239928445913,962.2429198256302,72,-18.10203125,5994,0.0035612127271665993,0.9781534075642915,5775,0.0,0,0.0,0,0.9403845365333893,3.550203101120162e-39,6,1,1.3790299225773327e-209,5900,1.3790299225773327e-209,1
44,11.7,5.777840550021902,1.0210240460533306,-2.086239928445913,-7.65,-11.7,0.0,18.496793090075897,2.086239928445913,3651.725229964252,72,-13.953453125,22,0.0003687223576662536,0.9192483073559012,5434,0.0,0,0.0,0,0.9373650752223196,3.043031229531568e-39,7,1,3.50522415928617e-173,5919,0.0,0
45,12.0,5.777840550021902,1.0210240460533306,-2.086239928445913,-7.546154,-11.7,0.0,18.421544005573484,2.086239928445913,288.6258989763434,72,-21.711057291666666,2244,0.01089648724634785,0.9768959193796645,5602,0.0,0,0.0,0,0.9423064307419877,2.662652325840122e-39,8,1,0.0,5930,0.0,0
46,12.3,6.243380314166566,1.221085365965784,-1.827299553796143,-7.442308,-11.7,0.0,18.821596947843997,1.827299553796143,2635.108947677111,72,-14.816333333333333,781,0.0010370343602519843,0.9896550023335975,5703,4.68155477036726e-59,0,4.68155477036726e-59,1,0.9475673831410555,2.3668020674134415e-39,9,1,1.0370343602519844e-303,5987,0.0,0
47,12.6,-2.08288007084459,11.770026519407422,-3.102133297116543,-7.338462,-11.7,0.0,24.051263713903943,3.102133297116543,2470.068491840075,72,-14.083265625,1,0.0006035213576134115,0.9894763548207696,5820,0.9894763548207696,1,1.4284333882628036e-80,1,0.9517582803090269,2.1301218606720974e-39,10,2,1.3135629022842891e-79,5889,0.0,0
48,12.9,-2.1845714751909804,11.766258420656555,-3.080365255524164,-7.234615,-11.7,0.0,24.003504408054674,3.080365255524164,2679.975155690366,72,-15.138427083333333,1283,0.0008893284262803075,0.9968537801954205,5816,0.9968537801954205,0,0.9968537801954205,5816,0.9968537801954205,0.9968537801954205,0,2,8.68251837842992e-60,5889,0.0,0
49,13.2,-2.2856939202853273,11.761036724330573,-3.1095977535161725,-7.130769,-11.7,0.0,23.95610562483936,3.1095977535161725,2553.214248291933,72,-13.5121875,167,0.0005750642210083867,0.9966560011041917,5863,0.9966560011041917,0,0.9966560011041917,5863,0.9966560011041917,0.9966560011041917,0,2,3.6655769470268717e-103,5897,3.6655769470268717e-103,1
50,13.5,-2.388754457527594,11.758833220486078,-3.1404296915131455,-7.026923,-11.7,0.0,23.91295597568318,3.1404296915131455,2748.862233817973,72,-14.321213541666667,629,0.0006088593093682308,0.9959986022809683,5862,0.9959986022809683,0,0.9959986022809683,5862,0.9959986022809683,0.9959986022809683,0,2,6.0885930936823075e-304,5980,0.0,0
51,13.8,-2.493952137233651,11.758462665332583,-3.1381101706976358,-6.923077,-11.7,0.0,23.872926458035632,3.1381101706976358,5068.9678783969,72,-12.40884375,1,0.00022411577546326496,0.9965986965817648,5857,0.9965986965817648,0,0.9965986965817648,5857,0.9965986965817648,0.9965986965817648,0,2,3.100720458101083e-132,5904,3.100720458101083e-132,1
52,14.1,-2.5977057288483265,11.756183411448625,-3.091280018375433,-6.819231,-11.7,0.0,23.83304042388402,3.091280018375433,1252.1235075566665,72,-18.024145833333332,5524,0.002315383692440175,0.9979749147776504,5857,0.9979749147776504,0,0.9979749147776504,5857,0.9979749147776504,0.9979749147776504,0,2,1.6631094887991862e-257,5903,1.6631094887991862e-257,1
53,14.4,-2.685996572629665,11.752765330331535,-3.0742568673143436,-6.715385,-11.7,0.0,23.796389909778895,3.0742568673143436,2760.9063611785214,72,-13.564229166666667,3301,0.0009382095856265935,0.9990047392433614,5869,0.9990047392433614,0,0.9990047392433614,5869,0.9990047392433614,0.9990047392433614,0,2,2.3732580290021123e-171,5933,0.0,0
54,14.7,-2.78772175566961,11.747946640702196,-3.1102601479697967,-6.611538,-11.7,0.0,23.75768869935841,3.1102601479697967,1974.5849791626904,72,-15.915166666666666,10,0.0007864859668276583,0.9998144650415564,5875,0.9998144650415564,0,0.9998144650415564,5875,0.9998144650415564,0.9998144650415564,0,2,7.475909158271255e-69,5891,7.475909158271255e-69,2
55,15.0,-2.8963673024217997,11.745846055147688,-3.126361609488185,-6.507692,-11.7,0.0,23.72233890899088,3.126361609488185,4297.679551172596,72,-14.793453125,4,0.00028376018205120954,0.9998432927442036,5879,0.9998432927442036,0,0.9998432927442036,5879,0.9998432927442036,0.9998432927442036,0,2,3.0537094890827196e-88,5887,3.0537094890827196e-88,1
56,15.3,-3.000841139336621,11.74491255335532,-3.1381329120657586,-6.403846,-11.7,0.0,23.690596588439398,3.1381329120657586,3137.606878020604,72,-15.731291666666667,4,0.0004166146631144418,0.9998418709099123,5879,0.9998418709099123,0,0.9998418709099123,5879,0.9998418709099123,0.9998418709099123,0,2,3.4153183033385254e-210,5891,3.4153183033385254e-210,1
57,15.6,-3.1054298000832388,11.746826842275663,3.109960741862504,-6.3,-11.7,0.0,23.663452151658994,3.109960741862504,2090.339979213003,72,-16.733333333333334,2223,0.0009503242493566012,0.9999999999999999,5880,0.9999999999999999,0,0.9999999999999999,5880,0.9999999999999999,0.9999999999999999,0,2,4.068220591197259e-140,5906,4.068220591197259e-140,1
58,15.9,-3.2083021310780353,11.749720882219993,3.112494849830174,-6.196154,-11.7,0.0,23.639303463610023,3.112494849830174,4287.286566619291,72,-12.770166666666666,25,0.0003418836208384453,1.0,5880,1.0,0,1.0,5880,1.0,1.0,0,2,3.418836208384453e-304,5974,0.0,0
59,16.2,-3.307841662172563,11.7522318250908,3.1060711713075,-6.092308,-11.7,0.0,23.616952181945404,3.1060711713075,2806.0715249601394,72,-13.623609375,3383,0.0008210965330470761,1.0,5880,1.0,0,1.0,5880,1.0,1.0,0,2,0.0,5965,0.0,0
