scan_index,t,x,y,theta,true_x,true_y,true_theta,position_error_m,heading_error_rad,ess,beams,mean_log_likelihood
268,58.0,3.099294894066389,-11.78888629013952,-3.140504038506783,-11.7,-2.995652,1.570796,17.214531612647058,1.5718852686728033,1869.5996088190273,56,-11.37498
270,58.4,2.9570948307057665,-11.789701545510457,-3.1368560995721326,-11.7,-2.856522,1.570796,17.16485146072136,1.5755332076074533,1556.456305794008,56,-11.578873333333332
272,58.8,2.8158431837418094,-11.790873047749834,-3.136625363882656,-11.7,-2.717391,1.570796,17.11834629296364,1.5757639432969308,2592.934742877605,56,-7.986313333333334
274,59.2,2.6803348718109987,-11.79740881622048,-3.0987697803128786,-11.7,-2.578261,1.570796,17.08176564301086,1.6136195268667077,1159.0584759157534,56,-10.951693333333333
276,59.6,2.540931464836448,-11.801791340899175,-3.110794965391189,-11.7,-2.43913,1.570796,17.042991414964003,1.6015943417883973,2499.3425765828288,56,-9.375553333333334
278,60.0,2.4017451425219685,-11.8050152252222,-3.1197301155359973,-11.7,-2.3,1.570796,17.00601453887264,1.5926591916435895,2088.7724852609826,56,-9.45124
280,60.4,2.2596384457603453,-11.799371671916433,3.1064786439639733,-11.7,-2.16087,1.570796,16.96385038886768,1.5356826439639732,433.2134893333364,56,-15.607493333333334
282,60.8,2.1149506612494307,-11.797242788390502,3.119401290082093,-11.7,-2.021739,1.570796,16.923750650774583,1.5486052900820928,2412.9814577230304,56,-9.362113333333335
284,61.2,1.9862860491872563,-11.793176572409555,3.086383930317825,-11.7,-1.882609,1.570796,16.897744684645744,1.515587930317825,1263.4325121917357,56,-11.343493333333335
286,61.6,1.8409828676681361,-11.788957130987866,-3.123416387227983,-11.7,-1.743478,1.570796,16.860304504770806,1.5889729199516032,147.05185062978967,56,-16.27235333333333
288,62.0,1.7050393656552303,-11.791692236934178,-3.129148449383838,-11.7,-1.604348,1.570796,16.83677709648026,1.5832408577957484,2626.345860555088,56,-9.858126666666669
290,62.4,1.5628671766394042,-11.79334605815572,-3.1300067113473653,-11.7,-1.465217,1.570796,16.809934431374188,1.582382595832221,2267.9967310151087,56,-10.232246666666667
292,62.8,1.4257369385122765,-11.795140004612422,-3.134699566037965,-11.7,-1.326087,1.570796,16.78946220080947,1.5776897411416215,1824.2103274100032,56,-10.96854
294,63.2,1.3351879535170639,-11.793491245381361,3.093645670795559,-11.7,-1.186957,1.570796,16.80519841245452,1.522849670795559,403.4179099690904,56,-13.752713333333338
296,63.6,1.1516810862602531,-11.790085866751106,3.1136937624783103,-11.7,-1.047826,1.570796,16.74998071007101,1.5428977624783102,2136.391915687413,56,-10.229133333333333
298,64.0,1.0111565816221455,-11.787531703654604,3.125790577091277,-11.7,-0.908696,1.570796,16.7308866444557,1.5549945770912768,1564.5241791058995,56,-10.781820000000002
300,64.6,0.7678284936158676,-11.784873561195566,3.1168031688766664,-11.7,-0.7,1.570796,16.682960445134196,1.5460071688766663,2177.590847892485,56,-9.899146666666667
302,65.2,0.528838164782802,-11.780633860156845,3.114277007825348,-11.7,-0.491304,1.570796,16.6431202468731,1.5434810078253478,1550.7295890312103,56,-10.252993333333334
304,65.8,0.3949036936652867,-11.77855792896186,3.129876099054768,-11.7,-0.282609,1.570796,16.68662749438416,1.5590800990547677,2376.95306027627,56,-10.736226666666667
306,66.4,0.1846097655592518,-11.778863690813562,3.1392989781009737,-11.7,-0.073913,1.570796,16.68082192081683,1.5685029781009736,1853.2935068243564,56,-11.85910666666667
308,67.0,-0.02225419597255638,-11.779308195739418,3.1410131079229813,-11.7,0.134783,1.570796,16.682785021808442,1.5702171079229812,1494.5681985375597,56,-12.238680000000002
310,67.6,-0.24698523932495842,-11.782112360964183,-3.1369291282284473,-11.7,0.343478,1.570796,16.67937315099545,1.575460178951139,2487.857653129789,56,-8.950199999999999
312,68.2,-0.4445575101383058,-11.784250369369651,-3.1370907926538445,-11.7,0.552174,1.570796,16.699471604328128,1.5752985145257414,2049.969744413216,56,-9.430593333333336
314,68.8,-0.6559013944714248,-11.608275226248574,3.126325520153428,-11.7,0.76087,1.570796,16.582155096267375,1.5555295201534278,1300.6580531553093,56,-12.148099999999996
316,69.4,-0.8549415583011666,-11.789076486385998,-3.107398547538663,-11.7,0.969565,1.570796,16.74509555607232,1.6049907596409236,913.327929703459,56,-12.769679999999997
318,70.0,-1.0615887949043736,-11.793954808515927,-3.1175959854300146,-11.7,1.178261,1.570796,16.776596077614037,1.5947933217495722,2566.8539188148816,56,-9.346766666666667
320,70.6,-1.268159657860115,-11.797225250604797,-3.1249570757300953,-11.7,1.386957,1.570796,16.81207763903854,1.5874322314494906,2105.3036783221096,56,-10.10422
