scan_index,t,odom_index,x,y,theta,selected_cluster_mass,candidate_cluster_mass,candidate_cluster_count,best_particle,best_particle_weight,previous_cluster_mass,previous_cluster_count,pending_mean_candidate_mass,pending_mean_selected_mass,pending_count,selected_switched,hypothesis_switches,ess,ess_ratio,beams,mean_log_likelihood,stable_now,accepted,reference_x,reference_y,reference_theta,reference_position_error_m,reference_heading_error_rad
6220,623.8077392578125,6189,3.6627972668091733,0.7185518152228518,-0.3935773539463181,0.9995515005244229,0.9995515005244229,5854,2711,0.00046023274861796545,0.9995515005244229,5854,0.9995515005244229,0.0,0,0,17,4423.7259391686275,0.7372876565281046,72,-13.051011535812679,0,0,7.0947,-3.645037,1.640609,5.551474013126661,2.034186353946318
6222,624.0086669921875,6191,3.6592313709054265,0.7317301433027601,-0.4004370129032283,0.16288596771541358,0.16288596771541358,300,1876,0.00266955088050679,0.9973304079426736,5791,0.16288596771541358,0.0,0,0,17,3079.226332555652,0.5132043887592753,72,-25.231693353994498,0,0,7.091249,-3.60559,1.640609,5.530921354703556,2.0410460129032284
6224,624.2092895507812,6193,3.590348525642702,0.8066805760009558,-0.44785414796879164,0.24801961383007137,0.24801961383007137,300,1876,0.023952879730026806,0.9760471190627069,5668,0.24801961383007137,0.0,0,0,17,1007.011542241795,0.16783525704029917,72,-31.038967803030314,0,0,7.08844,-3.565377,1.640609,5.5992438249140895,2.088463147968792
6226,624.4100952148438,6195,3.7171632993395294,0.6969418437892072,-0.3934322993432327,0.7535566950945426,0.24644328625998788,138,1861,0.0021872679986744453,0.7535566950945426,5698,0.24644328625998788,0.7535566950945426,1,0,17,1732.8816912125428,0.2888136152020905,72,-16.59826962809918,1,0,7.084989,-3.525929,1.640609,5.401378353101564,2.0340412993432326
6228,624.6119995117188,6197,3.766930499019626,0.6785002893878183,-0.38646160409633423,0.3762208388588004,0.6237378529583903,1452,1514,0.0006003198976264096,0.3762208388588004,4386,0.4350905696091891,0.5648887669766716,2,0,17,3059.272515231948,0.509878752538658,72,-15.981129476584028,0,0,7.082947,-3.486359,1.640609,5.323722225583724,2.027070604096334
6230,624.8135986328125,6199,3.794937264029788,0.6679865109392303,-0.3845192041779597,0.1338611902263357,0.8661243403507212,1452,1491,0.0011086261342357028,0.1338611902263357,4268,0.5787684931896998,0.4212129080598929,3,0,17,1575.3192615279092,0.26255321025465156,72,-28.052277031680454,0,0,7.079496,-3.446912,1.640609,5.265046613788726,2.0251282041779595
6232,625.0140991210938,6201,3.830739354130502,0.6553122472023749,-0.3766511894787593,0.015075859240089733,0.9849241407587728,5088,594,0.0002790425634639163,0.015075859240089733,763,0.680307405081968,0.3196786458549421,4,0,17,4776.426352635733,0.7960710587726221,72,-14.157825413223147,0,0,7.076687,-3.406698,1.640609,5.1996253103567796,2.017260189478759
6234,625.2144775390625,6203,3.8668469714008062,0.6449835213903455,-0.3711075671237916,0.0014052989278323805,0.9985947010721676,5088,1076,0.0003912562915110428,0.0014052989278323805,701,0.7439648642800079,0.25602397646952013,5,0,17,3920.594832949487,0.6534324721582478,72,-19.416128615702487,0,0,7.073236,-3.367251,1.640609,5.136044826260544,2.0117165671237918
6236,625.415283203125,6205,2.82842597352872,1.5150995134659362,-0.9745320417060851,0.9998342284813926,0.9998342284813926,5088,3425,0.000524391701338894,0.0001657715186073095,623,0.7866097583135719,0.2133809423110347,6,1,18,3259.185346138178,0.5431975576896964,72,-27.108750860881557,0,0,7.070428,-3.327038,1.640609,6.437458884676508,2.615141041706085
6238,625.6160888671875,6207,2.849571132459266,1.486202867701017,-0.9646272368161775,0.9999897724922657,0.9999897724922657,5088,5292,0.000677276653008714,0.9999897724922657,5088,0.9999897724922657,0.0,0,0,18,2720.00193021675,0.45333365503612505,72,-35.099845041322325,0,0,7.066976,-3.28759,1.640609,6.369898127950664,2.6052362368161774
6240,625.8172607421875,6209,2.868965375843949,1.4591474389568004,-0.9535441030764261,0.9999994435344425,0.9999994435344425,5088,2832,0.0009184364325388426,0.9999994435344425,5088,0.9999994435344425,0.0,0,0,18,2249.5801698180912,0.3749300283030152,72,-42.74236398071628,0,0,7.064168,-3.247377,1.640609,6.304847131550727,2.594153103076426
6242,626.0179443359375,6211,2.8886036230383834,1.4334026638061643,-0.9440926508510564,0.9999999999999999,0.9999999999999999,5880,3920,0.00025001888305122125,1.0,5881,0.9999999999999999,0.0,0,0,18,5373.429705656901,0.8955716176094836,72,-11.421745867768601,0,0,7.060717,-3.20793,1.640609,6.240873250302084,2.5847016508510565
6244,626.2195434570312,6213,2.907124485503394,1.4083721530974915,-0.9356175507933407,1.0,1.0,5881,1516,0.0003502696529753406,1.0,5880,1.0,0.0,0,0,18,4636.05943469486,0.7726765724491433,72,-11.51646866391185,0,0,7.057266,-3.168482,1.640609,6.178290097516783,2.576226550793341
6246,626.4212646484375,6215,2.9243679519125685,1.3863407084203605,-0.9288630287277992,1.0,1.0,5881,2190,0.0004963114068765638,1.0,5880,1.0,0.0,0,0,18,3897.08298662111,0.6495138311035183,72,-11.587995006887057,0,0,7.052732,-3.108545,1.640609,6.103063758908508,2.569472028727799
6248,626.6221923828125,6217,2.9402372581038088,1.3651924091847607,-0.9228515454281692,1.0,1.0,5880,5114,0.0007031999801711547,1.0,5880,1.0,0.0,0,0,18,3214.474764696721,0.5357457941161202,72,-12.441718319559232,0,0,7.049923,-3.068332,1.640609,6.04530028898333,2.5634605454281694
6250,626.8232421875,6219,2.955937277578972,1.3455324842606737,-0.9164043543845726,1.0,1.0,5880,3918,0.0010784858280484036,1.0,5880,1.0,0.0,0,0,18,2598.997445204207,0.4331662408673678,72,-12.661045110192843,0,0,7.046472,-3.028885,1.640609,5.988990118704284,2.557013354384573
6252,627.0238647460938,6221,2.967631656950214,1.329725253659772,-0.9109151976576451,0.9999999999999991,0.9999999999999991,5881,1000,0.0003012357035279112,0.9999999999999991,5881,0.9999999999999991,0.0,0,0,18,5323.138386512968,0.8871897310854947,72,-11.344021177685955,0,0,7.043787,-2.99008,1.640609,5.939340014700277,2.551524197657645
6254,627.2252197265625,6223,2.9767993778569175,1.3176352458848968,-0.9060116947655804,1.0,1.0,5881,1000,0.000534076508555539,1.0,5881,1.0,0.0,0,0,18,4244.290115844789,0.7073816859741315,72,-11.73732351928375,0,0,7.040978,-2.949867,1.640609,5.893142055925471,2.5466206947655805
6256,627.4251708984375,6225,2.997498285685764,1.2917384353695258,-0.9006178030702702,0.9999999999999999,0.9999999999999999,5881,2564,0.0010332039352789922,0.9999999999999999,5881,0.9999999999999999,0.0,0,0,18,3092.6501493419646,0.5154416915569942,72,-11.644245006887058,0,0,7.039253,-2.930143,1.640609,5.844661155704341,2.5412268030702703
6258,627.6260375976562,6226,2.990439168500079,1.3009565153411358,-0.8982195688914261,1.0,1.0,5881,2564,0.0019455658088247286,1.0,5881,1.0,0.0,0,0,18,2055.0387199251095,0.34250645332085156,72,-12.59734848484849,1,0,7.034719,-2.870206,1.640609,5.809887785909813,2.538828568891426
6260,627.8272094726562,6228,2.994696532512349,1.2964181239998016,-0.8955486793515873,0.9999999999817129,0.9999999999817129,5880,695,0.0003390748384563662,0.9999999999817129,5880,0.9999999999817129,0.0,0,0,18,5099.179076249328,0.8498631793748881,72,-10.865284951790638,0,0,7.031268,-2.830759,1.640609,5.772997507794602,2.536157679351587
6262,628.0281982421875,6230,2.9946113703475437,1.2965664366010294,-0.8937677297461613,1.0,1.0,5880,4058,0.0006642028277942546,1.0,5880,1.0,0.0,0,0,18,3567.7019521446687,0.5946169920241114,72,-11.035102444903586,0,0,7.028459,-2.790546,1.640609,5.7425094487228785,2.5343767297461612
6264,628.2293090820312,6232,2.991724031614388,1.3014787979801188,-0.8930808794067074,1.0000000000000002,1.0000000000000002,5880,5669,0.0012381338730960549,1.0000000000000002,5880,1.0000000000000002,0.0,0,0,18,2154.262992633123,0.3590438321055205,72,-11.499440426997252,0,0,7.025008,-2.751098,1.640609,5.717583254589581,2.5336898794067073
6266,628.4298706054688,6234,2.987368140012912,1.3076081713768435,-0.8916619818399251,1.0,1.0,5881,191,0.0003135332211459913,1.0,5881,1.0,0.0,0,0,18,4859.68398969412,0.8099473316156867,72,-11.16666236225896,0,0,7.0222,-2.710885,1.640609,5.694572460402027,2.532270981839925
6268,628.6312255859375,6236,2.9830671416556704,1.3148713084862247,-0.891164701755711,0.9999999999999999,0.9999999999999999,5881,517,0.0005435451825372871,0.9999999999999999,5881,0.9999999999999999,0.0,0,0,18,3246.944490137309,0.5411574150228848,72,-12.102914084022045,0,0,7.018748,-2.671438,1.640609,5.672511074764928,2.531773701755711
6270,628.8320922851562,6238,2.987115577094876,1.311583805798088,-0.8852617453663921,1.0,1.0,5881,517,0.0008242759647647335,1.0,5881,1.0,0.0,0,0,18,2204.136390172024,0.3673560650286707,72,-11.8839273415978,0,0,7.01594,-2.631224,1.640609,5.637123346535814,2.525870745366392
6272,629.033203125,6240,2.993654678721536,1.3054208545186334,-0.8789773036935523,0.9999999999999823,0.9999999999999823,5880,245,0.00024845712409397234,0.9999999999999823,5880,0.9999999999999823,0.0,0,0,18,5127.831371010973,0.8546385618351622,72,-10.785666322314054,0,0,7.013255,-2.59242,1.640609,5.599138332813048,2.5195863036935524
6274,629.23388671875,6242,3.0039158313902625,1.294803098104652,-0.8724278910843558,1.0,1.0,5880,272,0.00034318352359481057,1.0,5880,1.0,0.0,0,0,18,4056.6523451422854,0.6761087241903809,72,-10.546836260330583,0,0,7.010447,-2.552206,1.640609,5.554437055718723,2.5130368910843557
