candidates,heading_error_rad,matches,position_error_m,scan_index,score,success,theta,true_t,true_theta,true_x,true_y,x,y
480,3.1410101415006215,17,8.215767230139678,730,0.10630062384849184,0,-2.400228165678965,193.5,0.741947,7.725,10.797917,15.712539939008638,12.720945055588084
960,3.1314958676583298,16,7.286190029798003,735,0.09747025348681664,0,3.1314958676583298,195.0,0.0,8.13913,11.05,15.292107440528339,12.436895412646706
0,,0,,740,inf,0,,196.5,,,,,
0,,0,,745,inf,0,,198.0,,,,,
240,,0,,750,inf,0,,199.5,,,,,
240,,0,,755,inf,0,,201.0,,,,,
0,,0,,760,inf,0,,202.5,,,,,
0,,0,,765,inf,0,,204.0,,,,,
0,,0,,770,inf,0,,205.5,,,,,
0,,0,,775,inf,0,,207.0,,,,,
0,,0,,780,inf,0,,208.5,,,,,
0,,0,,785,inf,0,,210.0,,,,,
0,,0,,790,inf,0,,211.5,,,,,
0,,0,,795,inf,0,,213.0,,,,,
0,,0,,800,inf,0,,214.5,,,,,
0,,0,,805,inf,0,,216.0,,,,,
0,,0,,810,inf,0,,217.5,,,,,
0,,0,,815,inf,0,,219.0,,,,,
0,,0,,820,inf,0,,220.5,,,,,
0,,0,,825,inf,0,,222.0,,,,,
0,,0,,830,inf,0,,223.5,,,,,
0,,0,,835,inf,0,,225.0,,,,,
0,,0,,840,inf,0,,226.5,,,,,
0,,0,,845,inf,0,,228.0,,,,,
0,,0,,850,inf,0,,229.5,,,,,
0,,0,,855,inf,0,,231.0,,,,,
0,,0,,860,inf,0,,232.5,,,,,
0,,0,,865,inf,0,,234.0,,,,,
0,,0,,870,inf,0,,235.5,,,,,
0,,0,,875,inf,0,,237.0,,,,,
0,,0,,880,inf,0,,238.5,,,,,
0,,0,,885,inf,0,,240.0,,,,,
0,,0,,890,inf,0,,241.5,,,,,
0,,0,,895,inf,0,,243.0,,,,,
0,,0,,900,inf,0,,244.5,,,,,
0,,0,,905,inf,0,,246.0,,,,,
0,,0,,910,inf,0,,247.5,,,,,
0,,0,,915,inf,0,,249.0,,,,,
0,,0,,920,inf,0,,250.5,,,,,
0,,0,,925,inf,0,,252.0,,,,,
0,,0,,930,inf,0,,253.5,,,,,
0,,0,,935,inf,0,,255.0,,,,,
960,1.564084251326928,22,19.564181386138593,940,0.0755685483328647,0,-3.134880251326928,256.4,-1.570796,11.6,-7.556522,9.838931960080748,11.928236984101055
720,1.5703723173104187,19,27.773106292188718,945,0.08379671020922735,0,-3.141168317310419,257.4,-1.570796,11.6,-7.904348,-7.870180162132231,11.901144106264999
480,1.572557897491084,16,28.204824935668658,950,0.09153242313092097,0,3.1398314096885027,258.4,-1.570796,11.6,-8.252174,-8.219872958837657,11.814833388927036
480,,13,,955,0.10794480494124917,0,,259.4,,,,,
720,,10,,960,0.11622119638900452,0,,260.4,,,,,
0,,0,,965,inf,0,,261.4,,,,,
240,,0,,970,inf,0,,262.4,,,,,
0,,0,,975,inf,0,,263.4,,,,,
0,,0,,980,inf,0,,264.4,,,,,
0,,0,,985,inf,0,,265.4,,,,,
0,,0,,990,inf,0,,266.4,,,,,
0,,0,,995,inf,0,,267.4,,,,,
0,,0,,1000,inf,0,,268.4,,,,,
720,0.001019174838888826,23,34.93833517818183,1005,0.08188633599699792,0,-3.140573132340698,269.4,3.141593,10.806522,-11.6,-15.06817546240753,11.87737839393188
720,0.0010182475614704206,22,34.95816425159958,1010,0.09302452184425426,0,-3.1405740596181158,270.4,3.141593,10.458696,-11.6,-15.428194202696245,11.893449373716155
0,,0,,1015,inf,0,,271.4,,,,,
0,,0,,1020,inf,0,,272.4,,,,,
0,,0,,1025,inf,0,,273.4,,,,,
0,,0,,1030,inf,0,,274.4,,,,,
0,,0,,1035,inf,0,,275.4,,,,,
0,,0,,1040,inf,0,,276.4,,,,,
0,,0,,1045,inf,0,,277.4,,,,,
0,,0,,1050,inf,0,,278.4,,,,,
0,,0,,1055,inf,0,,279.4,,,,,
