candidates,heading_error_rad,matches,position_error_m,scan_index,score,success,theta,true_t,true_theta,true_x,true_y,x,y
0,,0,,740,inf,0,,196.5,,,,,
0,,0,,745,inf,0,,198.0,,,,,
0,,0,,750,inf,0,,199.5,,,,,
0,,0,,755,inf,0,,201.0,,,,,
0,,0,,760,inf,0,,202.5,,,,,
0,,0,,765,inf,0,,204.0,,,,,
0,,0,,770,inf,0,,205.5,,,,,
0,,0,,775,inf,0,,207.0,,,,,
0,,0,,780,inf,0,,208.5,,,,,
0,,0,,785,inf,0,,210.0,,,,,
0,,0,,790,inf,0,,211.5,,,,,
0,,0,,795,inf,0,,213.0,,,,,
0,,0,,800,inf,0,,214.5,,,,,
0,,0,,805,inf,0,,216.0,,,,,
0,,0,,810,inf,0,,217.5,,,,,
0,,0,,815,inf,0,,219.0,,,,,
0,,0,,820,inf,0,,220.5,,,,,
0,,0,,825,inf,0,,222.0,,,,,
0,,0,,830,inf,0,,223.5,,,,,
0,,0,,835,inf,0,,225.0,,,,,
0,,0,,840,inf,0,,226.5,,,,,
0,,0,,845,inf,0,,228.0,,,,,
0,,0,,850,inf,0,,229.5,,,,,
0,,0,,855,inf,0,,231.0,,,,,
0,,0,,860,inf,0,,232.5,,,,,
0,,0,,865,inf,0,,234.0,,,,,
0,,0,,870,inf,0,,235.5,,,,,
0,,0,,875,inf,0,,237.0,,,,,
0,,0,,880,inf,0,,238.5,,,,,
0,,0,,885,inf,0,,240.0,,,,,
0,,0,,890,inf,0,,241.5,,,,,
0,,0,,895,inf,0,,243.0,,,,,
0,,0,,900,inf,0,,244.5,,,,,
0,,0,,905,inf,0,,246.0,,,,,
0,,0,,910,inf,0,,247.5,,,,,
0,,0,,915,inf,0,,249.0,,,,,
0,,0,,920,inf,0,,250.5,,,,,
0,,0,,925,inf,0,,252.0,,,,,
0,,0,,930,inf,0,,253.5,,,,,
0,,0,,935,inf,0,,255.0,,,,,
480,1.5730940948031285,23,27.213699156276604,940,0.045152092629917,0,3.1392952123764575,256.4,-1.570796,11.6,-7.556522,-7.515523393640381,11.813098211958653
480,1.5728129857887467,20,27.706632386107298,945,0.044386340229594035,0,3.1395763213908396,257.4,-1.570796,11.6,-7.904348,-7.865619768293357,11.812323250875913
480,1.572951874254983,18,28.201598348148444,950,0.0479450986660479,0,3.139437432924603,258.4,-1.570796,11.6,-8.252174,-8.212787752954666,11.81729512219301
720,1.5711119684206223,17,28.69502955616078,955,0.05472424759050684,0,3.1412773387589645,259.4,-1.570796,11.6,-8.6,-8.5671070889514,11.81304761400676
480,1.5705593305959495,16,3.9075593479990625,960,0.04604585441669597,0,-0.00023666940405053747,260.4,-1.570796,11.6,-8.947826,8.969546420006836,-11.837416632189273
0,,0,,965,inf,0,,261.4,,,,,
240,,0,,970,inf,0,,262.4,,,,,
0,,0,,975,inf,0,,263.4,,,,,
0,,0,,980,inf,0,,264.4,,,,,
240,,0,,985,inf,0,,265.4,,,,,
0,,0,,990,inf,0,,266.4,,,,,
0,,0,,995,inf,0,,267.4,,,,,
240,,0,,1000,inf,0,,268.4,,,,,
480,0.0015944179081737175,25,34.91849152632159,1005,0.05772148687649455,0,3.139998582091826,269.4,3.141593,10.806522,-11.6,-15.090373401309991,11.82331870268178
480,0.0019064632176397645,24,34.89107568123733,1010,0.05927431459356292,0,3.13968653678236,270.4,3.141593,10.458696,-11.6,-15.417070807402927,11.805808132229405
480,0.0018406533655464191,23,34.87843287241947,1015,0.05336802846704717,0,-3.13975165381404,271.4,3.141593,10.11087,-11.6,-15.74272941689614,11.811460373640484
0,,0,,1020,inf,0,,272.4,,,,,
0,,0,,1025,inf,0,,273.4,,,,,
0,,0,,1030,inf,0,,274.4,,,,,
0,,0,,1035,inf,0,,275.4,,,,,
