scan_index,t,x,y,theta,true_x,true_y,true_theta,position_error_m,heading_error_rad,ess,beams,mean_log_likelihood,best_particle,best_particle_weight,candidate_cluster_mass,candidate_cluster_count,selected_cluster_mass,selected_switched,previous_cluster_mass,previous_cluster_count,pending_mean_candidate_mass,pending_mean_selected_mass,pending_count,hypothesis_switches,true_nearest_particle_weight,true_nearest_particle_rank,true_cluster_mass,true_cluster_count
706,186.3,7.068015182188468,-11.674638729659861,-0.011640938712782632,-7.892308,-11.7,0.0,14.960344678835408,0.011640938712782633,2227.7270404977007,56,-9.884800000000002,213,0.0006450716546151897,0.9999992059735126,2910,0.0,0,0.0,0,0.9999996304660046,0.0,3,10,6.450716546151898e-304,3000,0.0,0
708,186.9,7.068015182188468,-11.674638729659861,-0.011640938712782632,-7.684615,-11.7,0.0,14.752651981472736,0.011640938712782633,1614.993475583719,56,-9.996440000000002,1368,0.0011510258793271469,0.9999999995341238,2910,0.0,0,0.0,0,0.9999997227330344,0.0,4,10,1.4885613183072038e-234,2955,0.0,0
710,187.5,11.675877139621651,1.6783464627738525,1.5700079353143304,-7.476923,-11.7,0.0,23.362574927997656,1.5700079353143304,2226.600570587465,56,-10.15716,2820,0.0006475350060924786,1.0000000000000002,2910,1.0000000000000002,1,0.0,0,0.9999997781864275,0.0,5,11,1.1658478857254657e-68,2925,1.1658478857254657e-68,1
712,188.1,11.67719756683698,1.887408629852654,1.571341765793907,-7.269231,-11.7,0.0,23.314905719578856,1.571341765793907,1591.8726447316135,56,-10.059253333333334,1070,0.0011429255508373108,1.0,2910,1.0,0,1.0,2910,1.0,1.0,0,11,1.4333203975390383e-137,2924,1.4333203975390383e-137,1
714,188.7,11.67731386238451,2.094432162546621,1.5721461519499642,-7.061538,-11.7,0.0,23.26866837202963,1.5721461519499642,2239.696493380036,56,-10.901273333333334,62,0.0006198479119675896,1.0,2912,1.0,0,1.0,2911,1.0,1.0,0,11,3.330359824605492e-19,2911,0.0,0
716,189.3,11.678194563772259,2.297953820187539,1.571503255316626,-6.853846,-11.7,0.0,23.22453957798525,1.571503255316626,1595.8172597377852,56,-11.35984666666667,250,0.0011258002619134863,0.9999999999999998,2911,0.9999999999999998,0,0.9999999999999998,2911,0.9999999999999998,0.9999999999999998,0,11,1.5505845820064966e-34,2911,0.0,0
718,189.9,11.678551086940786,2.5082611327196083,1.5720805408738268,-6.646154,-11.7,0.0,23.18770150185016,1.5720805408738268,2264.2236377589093,56,-9.254066666666668,332,0.0006170485361204191,0.9999997802017586,2910,0.9999997802017586,0,0.9999997802017586,2910,0.9999997802017586,0.9999997802017586,0,11,2.0787258315763725e-86,2938,0.0,0
720,190.5,11.678850762305672,2.7072486301185616,1.5736397331227419,-6.438462,-11.7,0.0,23.1474800964869,1.5736397331227419,1590.0799240615345,56,-10.277353333333334,1592,0.0010741805716923778,0.9999999999295555,2910,0.9999999999295555,0,0.9999999999295555,2910,0.9999999999295555,0.9999999999295555,0,11,7.14297603155632e-233,2956,0.0,0
722,191.1,11.706050789644763,2.9068284661103014,1.2470183504266419,-6.235714,-11.721429,-0.321751,23.149359392038228,1.568769350426642,1800.0558259845277,56,-11.721300000000003,383,0.0008119118009695313,1.0,2910,1.0,0,1.0,2910,1.0,1.0,0,11,1.4206325707401294e-173,2968,0.0,0
724,191.7,11.773395471559965,3.103824531496895,1.2529915676591874,-6.042857,-11.785714,-0.321751,23.21889768725676,1.5747425676591873,1151.2941100004855,56,-12.064333333333334,97,0.0015758585526189576,1.0,2910,1.0,0,1.0,2910,1.0,1.0,0,11,1.5758858786359226e-297,2966,1.5758858786359226e-297,1
726,192.3,11.837367319156744,3.2929678464052827,1.2539801428563349,-5.85,-11.85,-0.321751,23.284167107286407,1.575731142856335,2170.271066744939,56,-9.9266,2553,0.0006710676981606472,0.9998749304421711,2910,0.9998749304421711,0,0.9998749304421711,2910,0.9998749304421711,0.9998749304421711,0,11,1.4559774512164343e-86,2940,1.4559774512164343e-86,1
728,192.9,11.902755417315946,3.491959950639239,1.2577538465390963,-5.657143,-11.914286,-0.321751,23.36027497094251,1.5795048465390962,1523.8808881576117,56,-10.929680000000003,1864,0.001218568333619643,0.999997211700389,2910,0.999997211700389,0,0.999997211700389,2910,0.999997211700389,0.999997211700389,0,11,4.0277016404064147e-156,2938,4.0277016404064147e-156,1
730,193.5,11.966390365681011,3.6884080693708543,1.2585266234778687,-5.464286,-11.978571,-0.321751,23.436781172448043,1.5802776234778686,2196.4354304565454,56,-9.229013333333334,420,0.0006854366925054672,1.0,2911,1.0,0,1.0,2911,1.0,1.0,0,11,1.2436954970473334e-71,2933,0.0,0
732,194.1,11.98156901698222,3.8896749084064286,1.5511260985444915,-5.261538,-12.0,0.0,23.44795317919972,1.5511260985444915,1206.2194375886386,56,-11.068573333333333,2578,0.0019409211287142812,0.9999999999999998,2911,0.9999999999999998,0,0.9999999999999998,2911,0.9999999999999998,0.9999999999999998,0,11,4.18257304479228e-153,2936,0.0,0
734,194.7,11.985571942198533,4.096419168941219,1.5650929427726414,-5.053846,-12.0,0.0,23.44006130263263,1.5650929427726414,1914.7336999549711,56,-10.6272,426,0.0007784257972669629,0.9999999999952651,2911,0.9999999999952651,0,0.9999999999952651,2911,0.9999999999952651,0.9999999999952651,0,11,6.000513568737021e-236,2990,0.0,0
736,195.3,11.98500992910068,4.305680799136034,1.5714318331222508,-4.846154,-12.0,0.0,23.434233623730336,1.5714318331222508,1324.6857711484517,56,-11.169580000000002,474,0.001408559168833525,1.0,2911,1.0,0,1.0,2911,1.0,1.0,0,11,0.0,2971,0.0,0
